,cause,effect,word
8405,overall,of the drilling program,results
8406,previous unk for the unk orebody,in a unk,resulted
8407,the german tourists to kenya,arrangements with recognized firms to lodges and camps in the national parks whose security can be guaranteed,make
8408,the ease by which e-mails can be sent globally,there is a likelihood that the number of victims will increase,means
8409,one taxi driver was arrested,he had women passengers,because
8410,saudi arabia is the main player in a coalition supporting the yemeni government against the houthis in a war which,a humanitarian catastrophe,caused
8411,our people,a proclamation in support of the governor,make
8412,all unk,unk has performed beyond expectations across the three geopolitical zones of the state,because
8413,"all unk , from unk through umuahia to arochukwu",he has done well,because
8414,we them,to justice or,bring
8415,king : let 's stay with one question,'ve got limited time,because
8416,it,us feel,made
8417,has decided to confront him on the issue,of the damage to the country 's tourism image and the loss of earnings to the airline,because
8418,its aircraft,it was flying into a war zone,because
8419,by unscheduled chartered flights for mugabe,the air zimbabwe officials explained that most of the cancellations,caused
8420,for tourism were stranded at hwange airport,the aircraft meant,because
8421,hiv,to spread faster,causing
8422,the event in tarbert or,directly to any one of the runners pictured ! < unk > < unk,made
8423,"the third quarter , successful completion of some large projects",in strong gross margin,resulted
8424,we,good progress,made
8425,the decrease in operating profit before one-time items and ppa unk,from a lower sales volume and higher fixed costs due to acquisitions,resulted
8426,"due to the international project business , different interpretations of international and local tax rules and regulations",additional direct or indirect taxes for unk,cause
8427,a lack of financing,in bankruptcies,result
8428,"further strengthened by the acquisitions of unk , unk and unk which",additional technologies and service capabilities,bring
8429,of associated companies ,results, unk unk unk unk unk
8430,unk has applied the following revised standards,the beginning of 2010,since
8431,the change,in a loss or gain of control,results
8432,the following purchase price allocation is preliminary,it,because
8433,the following purchase price allocation is combined and preliminary,it,because
8434,the latest violence,further displacement of people in the area,caused
8435,spoke on condition of unk,he is not authorized to speak to reporters,because
8436,a willbros official said on condition of anonymity,he was not authorized to speak to the media,because
8437,total production,will be blended with zafiro next year,bringing
8438,by the government of south sudan and igad,need to move quickly to secure the gains so far,made
8439,they,to trek for four hours before they got to their hide out closer to fulani settlement,made
8440,loans,harder to come by and costlier,making
8441,a lack of integration into global capital markets,currencies such as the nigerian naira and the ghanaian cedi are far,means
8442,gilford immanuel matonga which,available to nyasa times,made
8443,i was lucky ; my passport does not list my occupation as journalist,it was issued when i was still at college,because
8444,her flight was postponed,her passport said that she was a journalist,because
8445,the last civil war which erupted in 1989 ended in 1997,of thousands of dead and displaced,leaving
8446,the recommendations,after thorough screening,made
8447,it,easy for the robust vision of unfpa,makes
8448,ca n't control the wind which,the waves,causes
8449,the us and other countries,restoring women 's rights a key priority in afghanistan,made
8450,by settling sunnis,the gap,made
8451,taliban spokesman zabihullah mujahid claimed that saturday 's attack,in the capture of several important structures,resulted
